0	2.11116e+08	2.11116e+08	2.11116e+08
0.0005	2.11116e+08	2.11116e+08	2.11116e+08
0.001	2.11116e+08	2.11116e+08	2.11116e+08
0.0015	2.11116e+08	2.11116e+08	2.11116e+08
0.002	2.11116e+08	2.11116e+08	2.11116e+08
0.0025	2.11116e+08	2.11116e+08	2.11116e+08
0.003	2.11116e+08	2.11116e+08	2.11116e+08
0.0035	2.41218e+08	2.41218e+08	2.41218e+08
0.004	2.43657e+08	2.43657e+08	2.43657e+08
0.0045	2.44585e+08	2.44585e+08	2.44585e+08
0.005	2.4541e+08	2.4541e+08	2.4541e+08
0.0055	2.45717e+08	2.45717e+08	2.45717e+08
0.006	2.45934e+08	2.45934e+08	2.45934e+08
0.0065	2.48137e+08	2.48137e+08	2.48137e+08
0.007	2.53141e+08	2.53141e+08	2.53141e+08
0.0075	2.53644e+08	2.53644e+08	2.53644e+08
0.008	2.53938e+08	2.53938e+08	2.53938e+08
0.0085	2.54155e+08	2.54155e+08	2.54155e+08
0.009	2.5427e+08	2.5427e+08	2.5427e+08
0.0095	2.54369e+08	2.54369e+08	2.54369e+08
