0	1.5361e+08	1.5361e+08	1.5361e+08
0.0005	1.5361e+08	1.5361e+08	1.5361e+08
0.001	2.06574e+08	2.06574e+08	2.06574e+08
0.0015	2.12632e+08	2.12632e+08	2.12632e+08
0.002	2.30329e+08	2.30329e+08	2.30329e+08
0.0025	2.38129e+08	2.38129e+08	2.38129e+08
0.003	2.40705e+08	2.40705e+08	2.40705e+08
0.0035	2.45876e+08	2.45876e+08	2.45876e+08
0.004	2.471e+08	2.471e+08	2.471e+08
0.0045	2.50578e+08	2.50578e+08	2.50578e+08
0.005	2.52488e+08	2.52488e+08	2.52488e+08
0.0055	2.53278e+08	2.53278e+08	2.53278e+08
0.006	2.54542e+08	2.54542e+08	2.54542e+08
0.0065	2.54986e+08	2.54986e+08	2.54986e+08
0.007	2.55775e+08	2.55775e+08	2.55775e+08
0.0075	2.56114e+08	2.56114e+08	2.56114e+08
0.008	2.56549e+08	2.56549e+08	2.56549e+08
0.0085	2.56894e+08	2.56894e+08	2.56894e+08
0.009	2.57108e+08	2.57108e+08	2.57108e+08
0.0095	2.57316e+08	2.57316e+08	2.57316e+08
