0	1.54982e+08	2.62091e+08	2.62091e+08	2.62091e+08
0.001	2.15081e+08	2.62091e+08	2.62091e+08	2.62091e+08
0.002	2.37657e+08	2.62091e+08	2.62091e+08	2.62091e+08
0.003	2.46894e+08	2.62091e+08	2.62091e+08	2.62091e+08
0.004	2.51628e+08	2.62091e+08	2.62091e+08	2.62091e+08
0.005	2.54569e+08	2.62091e+08	2.62091e+08	2.62091e+08
0.006	2.56062e+08	2.62091e+08	2.62091e+08	2.62091e+08
0.007	2.56888e+08	2.62091e+08	2.62091e+08	2.62091e+08
0.008	2.57358e+08	2.62091e+08	2.62091e+08	2.62091e+08
0.009	2.5766e+08	2.62091e+08	2.62091e+08	2.62091e+08
