0	7.33927e+07	7.33927e+07
0.0005	7.33927e+07	7.33927e+07
0.001	7.33927e+07	7.33927e+07
0.0015	8.67248e+07	8.67248e+07
0.002	8.93564e+07	8.93564e+07
0.0025	8.99793e+07	8.99793e+07
0.003	9.22281e+07	9.22281e+07
0.0035	9.25942e+07	9.25942e+07
0.004	9.2714e+07	9.2714e+07
0.0045	9.30726e+07	9.30726e+07
0.005	9.31509e+07	9.31509e+07
0.0055	9.31837e+07	9.31837e+07
0.006	9.32681e+07	9.32681e+07
0.0065	9.32984e+07	9.32984e+07
0.007	9.33081e+07	9.33081e+07
0.0075	9.3322e+07	9.3322e+07
0.008	9.33282e+07	9.33282e+07
0.0085	9.33311e+07	9.33311e+07
0.009	9.33383e+07	9.33383e+07
0.0095	9.33439e+07	9.33439e+07
