0	5.72504e+07	5.72504e+07
0.0005	5.72504e+07	5.72504e+07
0.001	5.72504e+07	5.72504e+07
0.0015	5.72504e+07	5.72504e+07
0.002	5.72504e+07	5.72504e+07
0.0025	5.72504e+07	5.72504e+07
0.003	5.72504e+07	5.72504e+07
0.0035	5.72504e+07	5.72504e+07
0.004	5.72504e+07	5.72504e+07
0.0045	5.72504e+07	5.72504e+07
0.005	5.72504e+07	5.72504e+07
0.0055	5.72504e+07	5.72504e+07
0.006	5.72504e+07	5.72504e+07
0.0065	5.72504e+07	5.72504e+07
0.007	5.72504e+07	5.72504e+07
0.0075	5.72504e+07	5.72504e+07
0.008	5.72504e+07	5.72504e+07
0.0085	5.72504e+07	5.72504e+07
0.009	5.72504e+07	5.72504e+07
0.0095	5.72504e+07	5.72504e+07
