0	7.62498e+07	1.06732e+08	1.06948e+08	1.06969e+08
0.001	1.0244e+08	1.06965e+08	1.06975e+08	1.06981e+08
0.002	1.06469e+08	1.06973e+08	1.06981e+08	1.06983e+08
0.003	1.06843e+08	1.06978e+08	1.06984e+08	1.06984e+08
0.004	1.0692e+08	1.0698e+08	1.06984e+08	1.06984e+08
0.005	1.06944e+08	1.0698e+08	1.06984e+08	1.06984e+08
0.006	1.06955e+08	1.06983e+08	1.06984e+08	1.06984e+08
0.007	1.06962e+08	1.06983e+08	1.06984e+08	1.06984e+08
0.008	1.06967e+08	1.06984e+08	1.06984e+08	1.06984e+08
0.009	1.06968e+08	1.06984e+08	1.06984e+08	1.06984e+08
