0	1.40759e+08	1.40759e+08	1.40759e+08
0.0005	1.40759e+08	1.40759e+08	1.40759e+08
0.001	1.40759e+08	1.40759e+08	1.40759e+08
0.0015	1.40759e+08	1.40759e+08	1.40759e+08
0.002	1.40759e+08	1.40759e+08	1.40759e+08
0.0025	1.40759e+08	1.40759e+08	1.40759e+08
0.003	1.40759e+08	1.40759e+08	1.40759e+08
0.0035	1.40759e+08	1.40759e+08	1.40759e+08
0.004	1.40759e+08	1.40759e+08	1.40759e+08
0.0045	1.40759e+08	1.40759e+08	1.40759e+08
0.005	1.40759e+08	1.40759e+08	1.40759e+08
0.0055	1.40759e+08	1.40759e+08	1.40759e+08
0.006	1.40759e+08	1.40759e+08	1.40759e+08
0.0065	1.40759e+08	1.40759e+08	1.40759e+08
0.007	1.40759e+08	1.40759e+08	1.40759e+08
0.0075	1.40759e+08	1.40759e+08	1.40759e+08
0.008	1.40759e+08	1.40759e+08	1.40759e+08
0.0085	1.40759e+08	1.40759e+08	1.40759e+08
0.009	1.40759e+08	1.40759e+08	1.40759e+08
0.0095	1.40759e+08	1.40759e+08	1.40759e+08
